carat,cut,color,clarity,depth,table,price,x,y,z
0.9,Very Good,H,SI2,64.1,59,3255,5.97,6.07,3.86
0.4,Ideal,G,SI2,62.6,54,573,4.73,4.76,2.97
1.0,Premium,G,SI2,62.2,57,3998,6.29,6.25,3.9
1.22,Very Good,J,SI2,62.2,60,4058,6.77,6.89,4.25
1.0,Premium,H,SI1,62.3,60,4788,6.38,6.34,3.96
0.96,Fair,E,SI2,57.7,67,3674,6.49,6.46,3.73
0.34,Ideal,H,VS2,60.4,57,555,4.54,4.57,2.75
1.01,Very Good,H,SI1,62.6,58,4369,6.34,6.44,4.0
0.31,Good,H,SI1,64.0,54,402,4.29,4.31,2.75
1.2,Ideal,H,VS1,61.9,57,5242,6.77,6.73,4.18
0.8,Ideal,H,VS2,62.8,57,2834,5.91,5.87,3.7
1.06,Very Good,H,SI2,62.4,54,4516,6.5,6.54,4.07
0.7,Ideal,D,VS1,62.9,57,3229,5.67,5.61,3.55
0.9,Ideal,G,SI2,60.7,57,4314,6.19,6.33,3.8
1.02,Fair,I,SI1,53.0,63,2856,6.84,6.77,3.66
0.75,Ideal,D,VS2,61.7,55,3625,5.82,5.85,3.6
0.61,Ideal,D,VVS1,62.1,56,4279,5.46,5.43,3.38
0.71,Very Good,D,VS1,62.9,57,2910,5.6,5.66,3.54
0.9,Good,G,SI1,65.2,58,3669,6.0,6.06,3.93
0.74,Ideal,F,VS1,62.3,56,3170,5.79,5.76,3.6
0.33,Very Good,E,SI1,60.2,58,579,4.49,4.55,2.72
0.72,Ideal,G,VS1,61.4,56,3478,5.75,5.79,3.55
0.3,Very Good,D,SI2,62.3,58,413,4.26,4.28,2.66
0.71,Ideal,G,VVS2,62.5,58,2978,5.7,5.73,3.57
1.03,Premium,J,SI1,61.1,61,3749,6.49,6.44,3.95
0.91,Good,G,VS1,63.2,58,4284,6.07,6.15,3.86
0.9,Ideal,G,SI1,61.6,58,4008,6.16,6.21,3.81
0.9,Premium,J,SI1,61.8,58,2873,6.16,6.13,3.8
0.32,Good,E,SI1,63.3,56,561,4.34,4.35,2.75
0.72,Ideal,H,VVS2,61.8,55,3417,5.75,5.77,3.56
0.27,Very Good,G,VVS1,62.9,55,566,4.12,4.15,2.6
0.91,Ideal,G,SI1,62.1,57,4240,6.2,6.23,3.86
0.9,Ideal,E,SI1,61.7,56,4147,6.16,6.23,3.82
0.9,Very Good,G,VS2,61.0,60,4210,6.21,6.24,3.8
0.7,Good,E,VS1,58.7,60,3148,5.79,5.83,3.41
1.0,Ideal,G,SI1,61.6,55,4956,6.51,6.41,3.98
1.01,Very Good,H,VS2,63.3,57,4559,6.32,6.27,3.99
1.21,Fair,H,SI2,65.6,56,3862,6.69,6.59,4.36
1.02,Very Good,H,SI2,62.4,59,3927,6.37,6.42,3.99
1.03,Premium,F,I1,62.3,59,3444,6.42,6.46,4.01
0.35,Premium,F,SI1,62.3,58,583,4.49,4.53,2.81
1.02,Ideal,G,SI2,62.0,55,4366,6.4,6.51,4.0
0.73,Ideal,F,VVS2,61.7,54,3524,5.76,5.82,3.57
1.02,Very Good,J,SI1,63.1,60,3879,6.35,6.4,4.02
0.96,Ideal,G,SI1,63.0,53,4301,6.24,6.21,3.92
1.2,Fair,J,I1,64.9,59,3011,6.61,6.54,4.27
0.59,Ideal,D,IF,60.9,57,4208,5.4,5.43,3.3
1.0,Fair,I,SI1,66.0,56,2912,6.31,6.24,4.13
0.32,Very Good,I,SI1,63.1,56,554,4.39,4.36,2.76
1.05,Good,D,SI2,60.0,63,4560,6.59,6.64,3.97
0.76,Ideal,E,VS2,61.3,56,3079,5.79,5.83,3.56
1.01,Premium,G,SI1,61.2,61,4672,6.47,6.41,3.94
1.01,Premium,F,SI1,61.8,59,4989,6.41,6.34,3.94
0.71,Ideal,G,VS1,62.7,57,2930,5.69,5.73,3.58
1.01,Very Good,J,SI1,61.9,58,4346,6.36,6.4,3.95
0.71,Ideal,H,VS2,61.8,55,3080,5.73,5.75,3.55
0.81,Very Good,F,VS1,62.7,56,3689,5.92,5.98,3.73
1.23,Premium,G,SI2,62.1,58,4918,6.85,6.8,4.24
0.83,Ideal,E,SI2,61.0,57,3143,6.06,6.13,3.72
1.0,Very Good,H,SI2,59.7,58,4273,6.48,6.55,3.89
1.02,Premium,H,SI2,62.7,59,4455,6.41,6.34,4.0
1.04,Ideal,J,VVS2,61.1,58,5242,6.49,6.57,3.99
1.16,Premium,J,VS2,62.2,59,4702,6.74,6.69,4.18
1.02,Good,H,SI2,58.6,64,3427,6.32,6.26,3.68
0.26,Premium,H,VVS2,59.8,61,565,4.18,4.15,2.49
1.5,Good,I,I1,63.7,61,3696,7.22,7.1,4.57
1.01,Ideal,I,VS1,62.9,56,4118,6.43,6.38,4.03
0.3,Ideal,J,VS1,62.2,57,411,4.27,4.28,2.66
1.05,Ideal,D,SI2,60.2,57,4932,6.58,6.65,3.98
1.07,Premium,F,SI2,60.8,58,4491,6.62,6.68,4.04
0.71,Ideal,H,VVS2,61.9,56,3371,5.72,5.76,3.55
0.7,Good,D,VS2,64.1,59,3033,5.56,5.49,3.54
0.74,Ideal,D,VS1,61.7,55,3746,5.85,5.79,3.59
1.01,Good,G,SI2,63.7,56,4211,6.26,6.34,4.01
0.7,Fair,F,VS2,64.5,57,2762,5.57,5.53,3.58
1.12,Good,H,SI1,59.8,61,5094,6.72,6.85,4.06
0.7,Good,D,VS2,63.9,58,3087,5.58,5.62,3.58
0.9,Very Good,E,VS2,62.7,56,4858,6.13,6.21,3.87
1.2,Premium,H,SI2,59.8,58,4032,6.92,6.83,4.11
1.01,Ideal,E,SI2,59.6,60,4604,6.52,6.6,3.91
1.09,Premium,H,SI2,59.6,61,4761,6.69,6.63,3.97
0.96,Fair,G,SI1,69.7,59,3299,6.09,5.9,4.18
0.81,Ideal,D,SI1,62.0,56,3852,5.97,6.0,3.71
1.0,Very Good,I,SI1,63.3,56,4538,6.27,6.36,4.0
1.18,Good,G,SI1,64.2,62,4678,6.6,6.51,4.25
1.03,Ideal,J,SI2,62.4,56,4054,6.44,6.48,4.03
1.12,Premium,H,VS1,59.6,57,5055,6.82,6.77,4.05
0.91,Very Good,E,VS1,62.8,60,5057,6.08,6.11,3.83
0.76,Very Good,E,IF,61.9,56,4798,5.83,5.85,3.62
1.01,Good,F,SI1,63.6,58,4355,6.36,6.28,4.02
0.33,Very Good,H,VS1,60.0,61,579,4.48,4.52,2.7
0.9,Very Good,F,VS2,62.3,59,4846,6.1,6.16,3.82
0.91,Very Good,F,SI1,62.7,56,3963,6.11,6.17,3.85
0.83,Very Good,E,SI1,63.8,54,3295,5.96,6.04,3.83
0.76,Ideal,D,SI1,62.8,57,3075,5.81,5.85,3.66
0.77,Ideal,H,VS2,60.9,56,3332,5.89,5.94,3.61
0.33,Good,I,VVS2,63.7,56,579,4.36,4.4,2.79
1.14,Premium,H,SI2,60.6,59,4788,6.8,6.77,4.11
0.74,Ideal,H,VS1,61.6,56,2797,5.81,5.82,3.58
1.06,Very Good,I,SI2,58.4,62,3515,6.65,6.7,3.9
0.82,Ideal,F,VS2,61.9,57,3514,5.96,5.99,3.7
1.23,Fair,E,I1,67.4,56,3692,6.76,6.56,4.49
0.72,Ideal,F,VVS1,62.0,56,4252,5.73,5.75,3.56
0.8,Very Good,E,SI1,63.1,56,3050,5.93,5.83,3.71
0.3,Fair,F,VS1,61.7,66,593,4.25,4.31,2.64
0.81,Very Good,H,SI2,61.3,59,2797,5.94,6.01,3.66
0.91,Very Good,H,SI1,62.7,56,3762,6.14,6.18,3.86
1.52,Premium,I,I1,61.2,58,3541,7.43,7.35,4.52
0.71,Very Good,F,VS1,62.2,55,3045,5.68,5.74,3.56
1.02,Premium,F,SI2,62.7,59,4227,6.45,6.38,4.02
0.7,Very Good,E,VS2,62.4,58,2952,5.66,5.68,3.54
0.8,Very Good,E,VS2,61.6,57,4263,5.95,5.97,3.67
1.11,Premium,E,SI2,61.0,60,4177,6.68,6.66,4.07
1.2,Ideal,J,SI1,62.3,56,4830,6.77,6.81,4.23
1.05,Premium,F,SI2,62.3,56,4363,6.55,6.51,4.07
0.91,Very Good,G,SI1,63.5,58,4081,6.15,6.04,3.87
1.01,Very Good,F,SI2,62.7,59,4416,6.35,6.4,4.0
0.4,Ideal,I,SI1,61.8,55,573,4.74,4.78,2.94
0.95,Very Good,H,SI2,59.0,59,3335,6.38,6.51,3.77
1.35,Ideal,G,I1,62.5,57,4560,7.01,7.04,4.39
0.71,Very Good,E,VS2,62.7,59,2830,5.65,5.7,3.56
0.9,Very Good,H,VS2,62.7,59,4155,6.1,6.15,3.84
0.31,Ideal,F,VS2,61.6,56,583,4.35,4.39,2.69
0.78,Very Good,D,VS2,59.8,60,3672,5.97,6.03,3.59
0.26,Very Good,G,VS1,62.1,56,418,4.07,4.11,2.54
0.91,Premium,F,SI2,61.4,60,3618,6.23,6.21,3.82
1.04,Ideal,H,SI1,62.1,57,4801,6.49,6.52,4.04
1.13,Ideal,H,SI2,62.5,57,4584,6.67,6.71,4.18
0.9,Very Good,F,SI1,61.4,58,4379,6.18,6.23,3.81
1.0,Good,H,SI2,62.7,58,4125,6.31,6.33,3.96
1.1,Ideal,I,SI2,61.7,56,3216,6.65,6.6,4.09
0.81,Ideal,G,VS1,62.3,57,3544,5.99,5.95,3.72
0.34,Very Good,I,VVS2,61.3,57,596,4.49,4.52,2.76
0.74,Ideal,H,IF,60.9,57,3760,5.83,5.85,3.56
0.71,Ideal,E,VS2,61.9,55,3773,5.68,5.72,3.53
1.11,Very Good,I,SI1,61.9,59,4273,6.58,6.64,4.09
0.9,Premium,E,SI1,62.7,62,4092,6.22,6.1,3.85
0.93,Good,D,SI1,63.8,59,3812,6.21,6.15,3.94
0.32,Very Good,I,VVS2,63.0,57,561,4.33,4.37,2.74
0.7,Ideal,D,VS1,62.8,54,3529,5.65,5.69,3.56
0.71,Ideal,E,VVS1,61.0,57,4860,5.75,5.76,3.51
0.51,Ideal,D,IF,62.0,56,3446,5.14,5.18,3.2
1.0,Ideal,F,SI2,62.3,56,3696,6.34,6.27,3.93
1.0,Fair,F,SI1,61.3,62,5040,6.45,6.37,3.93
1.02,Good,D,SI2,63.8,59,3909,6.43,6.33,4.07
0.76,Ideal,D,VS2,61.2,57,3384,5.91,5.89,3.61
1.19,Very Good,I,SI1,63.2,58,4665,6.82,6.7,4.27
1.25,Premium,I,SI2,60.1,60,4340,6.99,6.95,4.19
0.31,Good,H,VS2,63.8,56,586,4.33,4.29,2.75
0.4,Ideal,F,SI2,62.0,57,597,4.7,4.72,2.92
1.16,Ideal,G,SI2,61.9,56,4969,6.77,6.73,4.18
1.1,Premium,J,SI2,60.0,58,3216,6.77,6.66,4.03
0.82,Very Good,D,SI1,63.1,58,2954,5.97,5.95,3.76
1.01,Ideal,H,SI1,62.4,53,4642,6.47,6.42,4.02
0.74,Very Good,E,VVS1,63.5,58,3993,5.78,5.72,3.65
1.04,Ideal,F,SI2,62.1,57,4668,6.46,6.48,4.02
0.9,Good,F,VS2,59.8,61,4253,6.18,6.22,3.71
1.1,Premium,H,SI1,61.6,56,4916,6.66,6.61,4.09
0.9,Good,H,SI2,64.5,58,3627,6.0,5.96,3.86
1.01,Premium,H,SI1,62.1,60,4439,6.43,6.39,3.98
0.97,Premium,D,SI2,60.4,61,3585,6.4,6.37,3.86
1.2,Ideal,I,SI2,60.5,58,5050,6.92,6.83,4.16
1.01,Ideal,G,SI2,62.1,57,4350,6.48,6.44,4.01
1.03,Good,D,SI1,64.3,58,4441,6.31,6.28,4.05
0.72,Ideal,E,SI1,60.3,55,3012,5.85,5.89,3.54
0.9,Very Good,H,VS1,63.6,55,4685,6.15,6.11,3.9
0.9,Premium,F,VS2,58.7,59,4234,6.34,6.3,3.71
1.23,Ideal,H,I1,61.9,61,3905,6.85,6.79,4.22
0.82,Ideal,G,VVS2,62.1,56,4130,5.97,6.01,3.72
0.7,Premium,D,VS1,62.5,59,3365,5.69,5.64,3.54
0.74,Premium,E,VS1,61.1,58,3401,5.84,5.81,3.56
0.91,Premium,G,VS1,62.2,58,4459,6.22,6.12,3.85
1.03,Ideal,E,SI2,62.0,55,4095,6.46,6.44,4.0
1.01,Very Good,I,SI2,63.4,57,5000,6.3,6.39,4.02
0.8,Ideal,H,SI1,61.0,57,2818,6.07,6.0,3.68
0.31,Good,D,VS2,63.6,56,567,4.26,4.32,2.73
1.0,Fair,G,SI1,64.7,60,4312,6.22,6.18,4.01
1.03,Premium,E,SI2,58.8,62,4070,6.58,6.51,3.85
0.82,Ideal,D,SI2,62.1,57,3357,6.04,6.0,3.74
1.1,Ideal,J,SI2,60.1,57,4624,6.77,6.74,4.06
0.8,Premium,G,SI1,63.0,59,2760,5.9,5.81,3.69
0.97,Premium,D,SI1,62.0,60,4639,6.29,6.25,3.89
0.33,Ideal,I,VS2,61.5,57,594,4.49,4.42,2.74
0.96,Premium,I,SI2,62.7,58,3229,6.24,6.2,3.9
0.3,Ideal,I,VS2,62.3,56,407,4.28,4.29,2.67
1.0,Good,E,SI1,62.4,59,4936,6.35,6.4,3.98
1.2,Very Good,G,SI2,61.8,60,4443,6.78,6.85,4.21
1.0,Very Good,D,SI2,59.4,60,4543,6.48,6.56,3.87
0.34,Ideal,I,VS1,62.0,56,555,4.5,4.53,2.8
1.04,Premium,J,SI1,60.2,56,4036,6.61,6.54,3.96
0.76,Premium,F,IF,60.6,60,4223,5.85,5.89,3.56
1.01,Premium,G,SI1,62.6,60,5006,6.36,6.29,3.96
1.02,Very Good,F,SI1,63.0,58,4594,6.36,6.4,4.02
1.03,Fair,H,SI1,65.1,57,3617,6.43,6.36,4.16
1.19,Premium,I,SI2,62.6,58,4660,6.7,6.75,4.21
0.95,Premium,E,SI2,58.9,61,3907,6.45,6.41,3.79
1.15,Premium,E,SI2,61.7,59,5193,6.7,6.66,4.12
1.05,Ideal,H,SI1,61.8,56,4975,6.52,6.58,4.05
1.0,Premium,F,SI2,60.2,62,3858,6.53,6.45,3.91
0.9,Good,I,IF,63.7,64,3734,6.02,6.07,3.85
1.05,Premium,G,SI2,62.7,54,4018,6.51,6.48,4.07
1.12,Ideal,I,SI2,62.4,57,3688,6.69,6.62,4.15
1.01,Ideal,H,SI2,61.1,56,4693,6.44,6.48,3.95
0.85,Ideal,G,VS1,61.8,55,4373,6.09,6.11,3.77
0.9,Good,G,SI2,63.7,62,3067,6.01,6.07,3.85
0.9,Premium,G,SI1,60.6,60,3407,6.22,6.15,3.75
1.5,Fair,I,I1,69.7,56,4704,6.94,6.9,4.82
1.21,Ideal,I,SI2,60.6,56,5091,6.92,6.94,4.2
0.9,Ideal,J,VS1,62.5,55,3175,6.18,6.14,3.85
1.01,Good,F,SI1,63.6,58,4899,6.31,6.37,4.03
0.7,Ideal,G,VVS1,62.3,57,3123,5.61,5.65,3.51
1.08,Premium,I,SI1,60.5,60,4355,6.67,6.61,4.02
0.72,Ideal,G,VVS2,62.6,56,3179,5.7,5.74,3.58
0.23,Very Good,F,VS1,60.9,57,357,3.96,3.99,2.42
0.96,Very Good,G,SI2,62.6,59,3723,6.18,6.29,3.9
1.0,Very Good,E,SI1,63.5,61,5174,6.33,6.24,3.99
0.92,Very Good,G,SI1,62.5,60,3986,6.19,6.26,3.89
0.31,Ideal,D,SI1,61.2,55,571,4.37,4.49,2.71
0.8,Very Good,I,VS2,62.0,58,2833,5.86,5.95,3.66
1.01,Very Good,I,SI1,62.8,58,3888,6.37,6.4,4.01
0.97,Premium,I,VS2,62.2,56,3948,6.34,6.29,3.94
0.25,Very Good,D,VVS2,58.8,59,575,4.11,4.16,2.43
0.78,Very Good,D,SI1,62.4,58,2945,5.86,5.9,3.67
0.78,Very Good,D,VS1,60.5,55,4234,6.0,6.03,3.64
1.01,Good,H,SI2,63.0,61,4865,6.32,6.29,3.97
0.72,Ideal,H,VVS1,59.9,59,2979,5.76,5.82,3.47
1.02,Premium,G,SI1,61.3,58,4341,6.47,6.45,3.96
0.71,Ideal,G,SI1,61.5,55,3061,5.75,5.79,3.55
0.73,Ideal,F,VS2,62.5,55,2801,5.8,5.76,3.61
0.81,Ideal,F,SI2,58.8,57,2761,6.14,6.11,3.6
1.01,Good,H,SI1,57.1,58,4488,6.6,6.64,3.78
0.77,Ideal,F,SI1,61.7,56,3702,5.85,5.91,3.63
1.02,Ideal,H,SI2,61.0,58,4360,6.5,6.54,3.98
0.9,Good,J,VS2,62.3,64,3423,6.09,6.17,3.82
1.01,Premium,H,VS1,60.9,62,5000,6.52,6.49,3.96
1.07,Premium,F,SI1,61.7,58,4597,6.58,6.62,4.07
1.04,Very Good,F,SI2,63.1,60,4508,6.42,6.35,4.03
0.34,Ideal,G,VS2,61.6,56,573,4.48,4.51,2.77
1.11,Good,I,VVS2,60.1,64,5221,6.73,6.62,4.02
0.91,Good,G,VS1,64.1,60,4744,6.11,6.06,3.9
0.77,Premium,F,VS1,62.1,60,3343,5.82,5.77,3.6
1.1,Very Good,H,SI1,63.0,58,4276,6.53,6.59,4.13
0.9,Very Good,E,SI2,63.2,61,3239,6.06,5.99,3.81
1.12,Premium,I,VS2,62.4,58,4321,6.63,6.59,4.13
0.9,Fair,G,VS2,65.8,61,4309,5.99,5.96,3.93
0.33,Ideal,H,SI1,60.6,56,564,4.46,4.49,2.72
0.81,Very Good,F,VVS2,63.1,56,3992,5.99,5.9,3.75
0.69,Very Good,G,VVS1,60.8,55,3323,5.74,5.77,3.5
0.77,Good,F,VS1,59.3,56,3393,5.98,6.03,3.56
1.07,Premium,F,SI2,62.0,58,4700,6.57,6.52,4.06
1.05,Ideal,H,SI1,62.0,56,4223,6.53,6.46,4.03
0.3,Very Good,F,VS1,61.0,60,570,4.3,4.22,2.6
0.9,Premium,F,SI2,58.4,62,3629,6.37,6.34,3.71
1.0,Ideal,E,I1,61.8,56,3520,6.38,6.43,3.96
0.8,Ideal,G,SI2,62.5,55,2893,5.89,5.92,3.69
0.78,Premium,E,VS1,62.5,57,3444,5.94,5.9,3.7
1.0,Premium,J,SI1,62.8,59,3780,6.37,6.27,3.97
0.93,Good,G,VS1,63.8,59,4503,6.15,6.21,3.94
1.05,Ideal,I,SI1,62.1,54,4679,6.54,6.55,4.06
1.01,Fair,F,SI2,65.2,57,3837,6.33,6.24,4.1
0.93,Very Good,E,SI1,62.5,58,4537,6.18,6.24,3.88
1.05,Very Good,G,SI2,62.5,60,4241,6.45,6.5,4.05
0.75,Ideal,F,SI1,61.2,55,2966,5.87,5.92,3.61
1.17,Fair,I,SI2,59.2,68,3833,6.91,6.84,4.07
0.38,Very Good,D,SI1,62.0,55,586,4.67,4.72,2.91
0.82,Very Good,G,IF,61.9,57,4844,5.96,6.0,3.7
1.0,Ideal,E,SI2,62.9,56,3450,6.32,6.3,3.97
0.82,Very Good,G,VS2,59.8,56,3535,6.13,6.18,3.68
0.93,Premium,D,SI1,60.8,59,4448,6.27,6.24,3.8
0.7,Very Good,F,VVS1,63.1,58,3622,5.6,5.66,3.55
1.0,Very Good,G,SI2,63.3,56,3920,6.38,6.29,4.01
0.3,Good,J,SI1,64.0,55,339,4.25,4.28,2.73
1.0,Fair,G,VS2,44.0,53,4032,6.31,6.24,4.12
1.01,Good,F,SI2,63.3,57,4221,6.37,6.39,4.04
0.9,Premium,F,SI1,62.5,62,3881,6.11,6.08,3.81
0.7,Ideal,G,VS1,61.7,56,2972,5.64,5.71,3.5
1.38,Fair,G,SI2,61.2,59,4730,7.19,7.13,4.38
1.19,Premium,I,SI2,59.5,59,4498,6.95,6.89,4.12
0.3,Good,G,SI1,63.2,55,417,4.26,4.29,2.7
0.97,Ideal,F,I1,60.7,56,2856,6.43,6.41,3.9
0.83,Very Good,D,VS1,61.3,57,3984,6.02,6.11,3.72
1.14,Premium,I,SI1,60.4,60,4596,6.78,6.73,4.08
0.92,Ideal,E,SI2,62.1,53,4011,6.22,6.25,3.87
0.72,Ideal,F,VVS1,60.8,56,5051,5.83,5.81,3.54
1.01,Very Good,H,VS2,63.5,61,5050,6.32,6.24,3.99
0.31,Ideal,I,VVS1,62.2,53,557,4.36,4.38,2.72
1.23,Ideal,I,SI2,62.3,55,4773,6.85,6.82,4.26
1.0,Premium,F,SI1,62.3,59,5197,6.37,6.43,3.99
1.04,Premium,G,I1,62.2,58,2801,6.46,6.41,4.0
0.9,Premium,E,VS2,62.3,55,4062,6.18,6.14,3.84
0.84,Very Good,E,SI2,62.1,58,3125,6.02,6.09,3.76
0.9,Ideal,F,SI2,62.3,57,3679,6.19,6.17,3.85
1.02,Very Good,I,VS2,59.3,59,4762,6.57,6.62,3.91
0.79,Very Good,D,SI2,59.7,58,2878,6.0,6.07,3.6
0.51,Ideal,E,VVS1,61.3,56,3226,5.21,5.13,3.17
0.9,Good,G,SI1,63.1,59,3734,6.11,6.15,3.87
0.71,Premium,D,SI1,61.3,58,2822,5.75,5.73,3.52
1.01,Very Good,F,SI1,63.5,58,4632,6.29,6.24,3.98
1.04,Premium,E,SI2,61.0,60,4240,6.57,6.52,3.99
1.0,Premium,I,VS2,62.7,62,3918,6.32,6.27,3.95
1.06,Ideal,H,SI2,62.8,57,4452,6.57,6.49,4.1
1.2,Premium,G,SI2,62.6,61,4250,6.73,6.68,4.2
0.76,Premium,E,SI1,58.3,62,2937,6.12,5.95,3.52
0.72,Ideal,F,VS1,60.7,57,3759,5.79,5.87,3.54
1.02,Premium,G,SI1,61.0,59,4718,6.48,6.44,3.94
0.28,Very Good,F,VVS1,58.9,62,572,4.27,4.32,2.53
0.91,Good,F,SI1,63.7,58,3993,6.1,6.17,3.91
0.75,Good,D,SI2,57.6,56,2933,5.98,6.07,3.47
0.92,Good,E,SI1,63.2,58,4258,6.16,6.18,3.9
0.9,Good,H,VS1,63.5,59,4309,6.1,6.13,3.88
1.24,Fair,F,SI2,64.9,60,4375,6.7,6.63,4.32
1.09,Premium,G,SI2,59.0,58,4456,6.78,6.72,3.98
0.25,Premium,H,VVS1,59.8,59,577,4.09,4.07,2.44
0.9,Very Good,D,SI1,61.0,63,4304,6.13,6.1,3.73
0.33,Very Good,G,VS2,61.1,59,579,4.43,4.47,2.72
0.71,Premium,D,SI1,62.7,60,2797,5.67,5.71,3.57
1.02,Ideal,G,SI2,62.7,57,4370,6.44,6.42,4.03
1.0,Good,G,SI2,64.0,55,3941,6.3,6.26,4.02
0.9,Ideal,F,VS2,62.3,57,5160,6.18,6.21,3.86
0.91,Premium,I,VS2,62.7,58,3579,6.14,6.18,3.86
1.01,Ideal,G,SI1,61.6,57,5273,6.4,6.32,3.92
0.9,Very Good,F,VS2,62.6,58,4681,6.08,6.13,3.82
0.7,Good,E,SI1,63.5,59,2812,5.49,5.53,3.5
0.82,Ideal,F,SI2,62.3,56,2867,6.02,5.96,3.73
1.01,Fair,F,SI1,65.9,60,4561,6.25,6.17,4.09
1.08,Premium,J,SI1,61.0,60,4173,6.62,6.57,4.02
0.72,Premium,D,SI2,62.0,60,2795,5.73,5.69,3.54
1.03,Very Good,H,SI2,63.1,56,3288,6.43,6.38,4.04
0.3,Premium,D,SI2,62.4,58,574,4.31,4.28,2.68
0.82,Very Good,G,VS1,63.3,56,3460,5.96,5.98,3.78
0.91,Very Good,F,SI1,62.3,60,4049,6.08,6.15,3.81
1.0,Fair,E,SI2,65.1,59,3575,6.3,6.23,4.08
0.77,Very Good,G,SI1,63.6,57,2915,5.79,5.88,3.71
0.3,Ideal,D,SI2,63.0,55,574,4.26,4.25,2.68
0.9,Ideal,H,VS2,60.9,54,4871,6.19,6.22,3.78
1.15,Ideal,G,SI2,62.3,56,4838,6.67,6.75,4.18
1.09,Good,F,SI2,63.2,58,4766,6.49,6.54,4.12
0.93,Ideal,G,SI1,62.2,58,4666,6.2,6.24,3.87
0.75,Ideal,D,VS2,61.7,55,3562,5.85,5.82,3.6
1.1,Good,F,SI2,63.8,56,4244,6.53,6.48,4.15
0.7,Premium,F,VS1,60.7,60,2792,5.78,5.75,3.5
0.85,Very Good,F,VS2,62.2,56,3705,6.01,6.08,3.76
1.2,Fair,I,I1,62.2,66,3011,6.77,6.7,4.2
1.02,Very Good,H,SI2,63.5,60,3998,6.33,6.24,3.99
1.2,Premium,H,SI2,62.4,61,5174,6.81,6.78,4.24
0.91,Very Good,I,VS2,59.9,58,4008,6.35,6.27,3.78
0.93,Very Good,J,VS1,63.0,53,3651,6.22,6.26,3.93
1.0,Fair,F,SI1,66.4,57,4256,6.21,6.14,4.1
1.05,Premium,E,SI2,62.2,59,3886,6.51,6.44,4.03
